File	Row	OriginalMID	FinalMID	Manufacturer	Address
999-32980463-J.xlsx	477	CNQINLIJ1519LIS	CNQINLIJ6LIS	Qingyuan Lijun Trading Co., Ltd.	Building 6, No. 1519 Shouyuan Street, Yanquan Street, Landu District, Lishui City, Zhejiang Province, China
999-32980463-J.xlsx	479	CNYIWSON221JIN	CNYIWSON22JIN	Yiwu Songhuang Clothing Co., Ltd.	5th Floor, Wancuizhuang, Dongyang Curtain Home, No. 22-1, Baiyun Street, Dongyang City, Jinhua City, Zhejiang Province, Mainland China
999-32980463-J.xlsx	481	CNFOSLUO21FOS	CNFOSLUO3FOS	Foshan Luokexixi Clothing Technology Co., Ltd.	3rd Floor, Building B, Yanbuxiaoshi, 21 North Road, Dali Town, Nanhai District, Foshan City, Guangdong Province, China
999-32980463-J.xlsx	485	CNGUAHUA106GUA	CNGUAHUA1GUA	Guangzhou Huachuang Youpin Fashion Design Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-J.xlsx	497	CNFOSSHU289FOS	CNFOSSHU1FOS	Foshan Shuoshuo Clothing Co., Ltd.	Unit 1, 4th Floor, M2 Building, 289 Yacht Head PARK Cultural and Creative Park, Chao'an South Road, Zumiao Street, Chancheng District, Foshan City, Guangdong Province, China
999-32980463-K.xlsx	3	CNQINMAT33QIN	CNQINMAT9QIN	Qingyuan Mattel Clothing Co., Ltd.	Building 9, Dongcheng Yufeng, No. 33 Fucheng Avenue, Dongcheng Street, Qingcheng District, Qingyuan City, Guangdong Province, China
999-32980463-K.xlsx	5	CNDONJIN4DON	CNDONJIN3DON	Dongguan Jingfeng Clothing Co., Ltd.	4th Floor, Dongguan Dingluo Garment Co., Ltd., No. 3 Zhenbo Street, Humen Town, Dongguan City, Guangdong Province, China
999-32980463-K.xlsx	6	CNGUASAY03GUA	CNGUASAY303GUA	Guangzhou Sayu Trading Co., Ltd.	Room 3A03, Guangzhou Kelong Network Technology Co., Ltd., No. 5 Jianzhong Road, Tianyuan Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-K.xlsx	7	CNGUAZUO065GUA	CNGUAZUO65GUA	Guangzhou Zuopai Clothing Co., Ltd.	Unit K065, 3rd Floor, En Chong Pet Shop, Yongping Street, Yongping Street, Baiyun District, Guangzhou City, Guangdong Province, China
999-32980463-K.xlsx	15	CNXINSHU102HUL	CNXINSHU2HUL	Xingcheng Shuncheng Swimwear Factory	East 2nd Village, National Highway 102, Wenquan Street, Xingcheng City, Huludao City, Liaoning Province, China
999-32980463-K.xlsx	17	CNZHAHON292ZHA	CNZHAHON4ZHA	Zhaoqing Hongrui Garment Co., Ltd.	4 Jindu Industrial Park, 292 County Road, Jindu Town, Gaoyao District, Zhaoqing City, Guangdong Province, China
999-32980463-K.xlsx	19	CNGUAONL504GUA	CNGUAONL2GUA	Guangzhou Online Clothing Technology Co., Ltd.	Unit 2, 504A, Building 3, Panshan Entrepreneurship Center, No. 537 Panyu Avenue, Donghuan Street, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-K.xlsx	21	CNZHOHAO5ZHO	CNZHOHAO2ZHO	Zhongshan Haofeng Clothing Co., Ltd.	5th Floor, Guangdong Libushangshu Cultural Development Co., Ltd., No. 2 Longyang Road, Saxi Town, Zhongshan City, Zhongshan, Guangdong Province, China
999-32980463-K.xlsx	25	CNZHADAI108ZHA	CNZHADAI2ZHA	Zhangzhou Dain Garment Manufacturing Co., Ltd.	Phase 2, Huafu, 108 Datong North Road, Suian Town, Zhangpu County, Zhangzhou City, Fujian Province, China
999-32980463-K.xlsx	26	CNGUABAI301GUA	CNGUABAI123GUA	Guangzhou Baiyexing Clothing Co., Ltd.	A301, Electric Motorcycle Charging Station, No. 123, Xiamao Commercial Street, Baiyunhu Street, Baiyun District, Guangzhou City, Guangdong Province, China
999-32980463-K.xlsx	28	CNHUICHE4HUI	CNHUICHE1HUI	Huizhou Chengwei Clothing Co., Ltd.	4th Floor, Fuliying Garment Factory, No. 1 Wufeng Road, Yuanzhou Town, Boluo County, Huizhou City, Guangdong Province, China
999-32980463-K.xlsx	31	CNYIWJIA18JIN	CNYIWJIA3JIN	Yiwu Jiaoling E-Commerce Firm	Unit 3, Building 18, Danguiyuan, Danxi District 3, Danxi North Road, Beiyuan Street, Yiwu City, Zhejiang Province, China
999-32980463-K.xlsx	36	CNYIWDID51JIN	CNYIWDID8JIN	Yiwu Diduo Clothing Co., Ltd.	Building 8, Lane 51, Chengzhong North Road, Choucheng Street, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-K.xlsx	38	CNDONBAI1JIN	CNDONBAI5JIN	Dongyang Baiyun Diasha Socks Factory	1st Floor, Building 5, Lantian Community, Baiyun Street, Dongyang City, Jinhua City, Zhejiang Province, China
999-32980463-K.xlsx	47	CNGUAXIA1011GUA	CNGUAXIA10GUA	Guangzhou Xianyun Clothing Co., Ltd.	2nd Floor, Building B, Zhongchuangyingke · Dashiyunhe, No. 10-11 Gongye Er Road, Dashijiedao, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-K.xlsx	52	CNGUAZHO34GUA	CNGUAZHO2GUA	Guangzhou Zhongqin Clothing Co., Ltd.	4th Floor, Building 2, Heli Business Center, No. 34, Nanguang Road, Nancun Town, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-K.xlsx	54	CNYUDXIN10GAN	CNYUDXIN2GAN	Yudu Xingze Garment Co., Ltd.	3rd Floor, Factory Building 2, Yuduxingyun Trading Co., Ltd., No. 10 Industrial Avenue, Yuduxian Industrial Park, Yuduxian County, Ganzhou City, Jiangxi Province, China
999-32980463-K.xlsx	57	CNGUAYIR106GUA	CNGUAYIR1GUA	Guangzhou Yiren Clothing Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
